correct('localy') => 'localy' (76); expected 'locally' (711485)
correct('analisis') => 'analisis' (2906); expected 'analysis' (9828521)
correct('quaties') => 'quaties' (66); expected 'qualities' (4722781)
correct('easyly') => 'easyly' (538); expected 'easily' (10819013)
correct('oranisation') => 'organisation' (1374068); expected 'organization' (8632300)
correct('oragnisation') => 'organisation' (1374068); expected 'organization' (8632300)
correct('thw') => 'thw' (7153); expected 'the' (6129112667)
correct('hte') => 'hte' (5009); expected 'the' (6129112667)
correct('thi') => 'thi' (233451); expected 'the' (6129112667)
correct('citisum') => 'cytisum' (130); expected 'criticism' (3969222)
correct('financialy') => 'financial' (5118293); expected 'financially' (322082)
correct('functionaly') => 'functional' (1872798); expected 'functionally' (167770)
correct('disiplin') => 'disiplin' (127); expected 'discipline' (3509658)
correct('anouncement') => 'anouncement' (592); expected 'announcement' (856673)
correct('recomending') => 'recomending' (227); expected 'recommending' (403265)
correct('mathematicaly') => 'mathematical' (1647874); expected 'mathematically' (163762)
correct('sorce') => 'sorce' (484); expected 'source' (8942523)
correct('inut') => 'inut' (499); expected 'input' (1966315)
correct('currers') => 'curlers' (9611); expected 'careers' (415672)
correct('carrers') => 'carrers' (55); expected 'careers' (415672)
correct('resoved') => 'resoved' (96); expected 'resolved' (3821277)
correct('unequivocaly') => 'unequivocal' (239267); expected 'unequivocally' (165816)
correct('imidatly') => 'imediatly' (1013); expected 'immediately' (12133363)
correct('imediatly') => 'imediatly' (1013); expected 'immediately' (12133363)
correct('acepted') => 'acepted' (650); expected 'accepted' (7286048)
correct('necasery') => 'necesary' (6101); expected 'necessary' (28138168)
correct('nessasary') => 'nessesary' (268); expected 'necessary' (28138168)
correct('nessisary') => 'nessesary' (268); expected 'necessary' (28138168)
correct('neccassary') => 'neccessary' (4850); expected 'necessary' (28138168)
correct('unessessay') => 'nessessary' (206); expected 'unnecessary' (2120751)
correct('nite') => 'nite' (18021); expected 'night' (22899311)
correct('seurity') => 'seurity' (58); expected 'security' (5843642)
correct('esential') => 'esential' (818); expected 'essential' (8121398)
correct('benificial') => 'benificial' (339); expected 'beneficial' (1514032)
correct('benficial') => 'benficial' (151); expected 'beneficial' (1514032)
correct('suplementary') => 'suplementary' (213); expected 'supplementary' (555720)
correct('questionare') => 'questionaire' (2574); expected 'questionnaire' (436926)
correct('empolyment') => 'empolyment' (148); expected 'employment' (5677567)
correct('proceding') => 'proceding' (2137); expected 'proceeding' (2626194)
correct('descisions') => 'descisions' (75); expected 'decision' (7922966)
correct('descision') => 'descision' (228); expected 'decision' (7922966)
correct('pere') => 'pere' (65566); expected 'per' (35557753)
correct('discresion') => 'discresion' (166); expected 'discretion' (1597723)
correct('reching') => 'reching' (56); expected 'reaching' (3009535)
correct('analised') => 'analised' (207); expected 'analysed' (367358)
correct('expanion') => 'expanion' (83); expected 'expansion' (3422268)
correct('athough') => 'athough' (922); expected 'although' (18057246)
correct('comparrison') => 'comparrison' (68); expected 'comparison' (4814142)
correct('monthes') => 'monthes' (3278); expected 'months' (13994006)
correct('hierachial') => 'hierarchial' (4563); expected 'hierarchal' (5187)
correct('comit') => 'comit' (1836); expected 'commit' (1550037)
correct('aurgument') => 'argument' (6831979); expected 'auguments' (85)
correct('withing') => 'withing' (1078); expected 'within' (34699534)
correct('optaning') => 'obtaning' (84); expected 'obtaining' (2385772)
correct('acounts') => 'acounts' (1373); expected 'accounts' (4799780)
correct('opertor') => 'opertor' (46); expected 'operator' (1354366)
correct('acumulated') => 'acumulated' (111); expected 'accumulated' (1265313)
correct('thear') => 'thear' (7218); expected 'there' (151851784)
correct('sumarys') => 'sumary' (191); expected 'summarys' (0)
correct('analiss') => 'analisis' (2906); expected 'analyse' (292175)
correct('safegaurd') => 'safegaurd' (85); expected 'safeguard' (507385)
correct('muiuets') => 'muikets' (127); expected 'minutes' (7402434)
correct('assosiated') => 'assosiated' (81); expected 'associated' (7545574)
correct('accessability') => 'accessability' (688); expected 'accessibility' (155077)
correct('examin') => 'examin' (9340); expected 'examine' (3376722)
correct('servaying') => 'survaying' (87); expected 'surveying' (358816)
correct('anoying') => 'anoying' (65); expected 'annoying' (285824)
correct('agiin') => 'agiin' (742); expected 'again' (39101988)
correct('accesing') => 'accusing' (236777); expected 'assessing' (383883)
correct('idealy') => 'idealy' (119); expected 'ideally' (210388)
correct('variatry') => 'variaty' (217); expected 'variety' (7498899)
correct('similar') => 'similar' (17017378); expected 'simular' (2054)
correct('personel') => 'personel' (2004); expected 'personnel' (2090911)
correct('wheras') => 'wheras' (6441); expected 'whereas' (4778922)
correct('whn') => 'whn' (3065); expected 'when' (149452296)
correct('goegraphicaly') => 'goegraphical' (52); expected 'geographically' (181187)
correct('ganing') => 'ganing' (47); expected 'gaining' (1084070)
correct('explaning') => 'explaning' (438); expected 'explaining' (1152903)
correct('studens') => 'studens' (751); expected 'students' (9367937)
correct('prepaired') => 'prepaired' (458); expected 'prepared' (9359898)
correct('suted') => 'suted' (738); expected 'suited' (1813766)
correct('varible') => 'varible' (279); expected 'variable' (3096119)
correct('biulding') => 'biulding' (100); expected 'building' (11503276)
correct('controled') => 'controled' (4344); expected 'controlled' (3267582)
correct('nessisitates') => 'nessisitates' (0); expected 'necessitates' (229563)
correct('togehter') => 'togehter' (223); expected 'together' (24448516)
correct('proffits') => 'proffits' (631); expected 'profits' (2945592)
{'bad': 327, 'bias': None, 'unknown': 2, 'secs': 2, 'pct': 18, 'n': 400}
